"","id","nat","age","gender","edu","tuk","tus","fampart","famgt","tg","group","period","pdmv1","pdmv2","pdt1","pdt2","role2","ugmv2","payoff2","ugt2","role1","ugmv1","payoff1","ugt1","ugcc2","ugcc1"
"103",308373,"0",18,1,1,18,0,1,2,0,12,3,1,1,21162,4838,0,40,60,10243,1,"ACCEPT",40,8778,0.8,1
"104",308373,"0",18,1,1,18,0,1,2,0,12,2,1,1,9575,4771,0,45,55,23404,1,"ACCEPT",60,20096,0.9,1
"105",308373,"0",18,1,1,18,0,1,2,0,12,1,1,1,37552,21182,0,40,60,49727,1,"ACCEPT",50,20216,0.8,1
"106",308374,"0",19,1,1,15,0,1,2,1,10,5,0,0,1466,2853,0,53,47,6553,1,"ACCEPT",93,12557,0.94,1
"107",308374,"0",19,1,1,15,0,1,2,1,10,4,1,1,1802,3029,0,40,60,4381,1,"ACCEPT",100,8126,0.8,1
"108",308374,"0",19,1,1,15,0,1,2,1,10,1,1,1,8477,4249,0,50,50,21655,1,"ACCEPT",0,24357,1,1
"109",308374,"0",19,1,1,15,0,1,2,1,10,3,1,0,1728,1619,0,50,50,6701,1,"ACCEPT",20,19636,1,1
"110",308374,"0",19,1,1,15,0,1,2,1,10,2,1,1,2048,2254,0,50,50,7639,1,"ACCEPT",10,24480,1,1
"111",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,2,1,1,5252,5922,0,38,0,4810,0,"10",90,16714,0.76,0.2
"112",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,3,1,0,2124,1363,0,51,49,7775,0,"20",80,12226,0.98,0.4
"113",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,4,1,0,2605,2174,0,69,31,3408,0,"100",0,6518,0.62,0
"114",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,1,1,1,10901,2943,0,40,60,23107,0,"0",100,12623,0.8,0
"115",308375,"1",19,0,2,0.0192307692307692,12,1,3,1,10,5,1,0,4648,2860,0,92,8,5019,0,"93",7,9970,0.16,0.14
"116",308405,"0",19,1,1,19.9166666666667,0,1,2,0,11,3,0,0,11306,3851,0,40,60,7840,1,"REJECT",0,32436,0.8,0
"117",308405,"0",19,1,1,19.9166666666667,0,1,2,0,11,5,0,0,5284,11359,0,35,0,16363,1,"REJECT",0,14249,0.7,0
"118",308405,"0",19,1,1,19.9166666666667,0,1,2,0,11,4,0,0,6916,8351,0,55,45,8803,1,"ACCEPT",42,13842,0.9,1
"119",308405,"0",19,1,1,19.9166666666667,0,1,2,0,11,1,0,0,4897,2878,0,50,50,9775,1,"ACCEPT",50,30007,1,1
"120",308405,"0",19,1,1,19.9166666666667,0,1,2,0,11,2,0,0,7105,2769,0,45,55,7070,1,"ACCEPT",50,21802,0.9,1
"121",308467,"0",19,0,1,19.5,0,4,2,0,17,1,1,0,19909,9874,0,35,0,11020,0,"50",50,36645,0.7,1
"122",308467,"0",19,0,1,19.5,0,4,2,0,17,5,1,0,4764,4304,0,31,0,13887,0,"45",55,19959,0.62,0.9
"123",308467,"0",19,0,1,19.5,0,4,2,0,17,4,1,1,10426,7244,0,40,60,22566,0,"25",0,7604,0.8,0.5
"124",308467,"0",19,0,1,19.5,0,4,2,0,17,3,0,1,17201,5599,0,45,55,7350,0,"30",70,47726,0.9,0.6
"125",308467,"0",19,0,1,19.5,0,4,2,0,17,2,1,0,8674,6751,0,50,50,5133,0,"40",60,6144,1,0.8
"126",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,2,1,1,9599,2543,0,35,0,4966,0,"34",66,7605,0.7,0.68
"127",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,5,0,0,8586,4444,0,40,60,3121,0,"53",47,7282,0.8,0.94
"128",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,3,1,0,2874,7024,0,39,0,8865,0,"50",50,9291,0.78,1
"129",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,1,1,0,20635,11332,0,40,60,24498,0,"50",50,18905,0.8,1
"130",308536,"0",18,1,1,18.5833333333333,0.115384615384615,1,3,1,13,4,1,1,5930,2240,0,50,50,5371,0,"60",40,7318,1,0.8
"131",308537,"0",18,1,1,18,0.25,1,3,0,11,5,0,0,3652,3114,0,31,0,12070,0,"38",0,10625,0.62,0.76
"132",308537,"0",18,1,1,18,0.25,1,3,0,11,4,0,0,6332,38473,0,42,58,4998,0,"42",58,7965,0.84,0.84
"133",308537,"0",18,1,1,18,0.25,1,3,0,11,3,0,0,12642,2156,0,36,0,7834,0,"35",0,24644,0.72,0.7
"134",308537,"0",18,1,1,18,0.25,1,3,0,11,1,0,0,7731,6013,0,50,50,12878,0,"50",50,26677,1,1
"135",308537,"0",18,1,1,18,0.25,1,3,0,11,2,0,0,7218,3208,0,40,60,5309,0,"50",50,19114,0.8,1
"136",308552,"0",20,0,3,10.5,0,1,1,0,12,2,1,0,9703,3722,0,60,40,49190,0,"60",40,14935,0.8,0.8
"137",308552,"0",20,0,3,10.5,0,1,1,0,12,3,1,1,21256,1680,0,45,55,341,0,"40",60,6126,0.9,0.8
"138",308552,"0",20,0,3,10.5,0,1,1,0,12,1,1,1,37952,13167,0,50,50,9321,0,"50",50,16010,1,1
"139",308552,"0",20,0,3,10.5,0,1,1,0,12,4,1,0,4324,1480,0,40,60,13565,0,"51",49,20241,0.8,0.98
"140",308552,"0",20,0,3,10.5,0,1,1,0,12,5,1,0,11854,1904,0,35,0,5535,0,"49",51,6608,0.7,0.98
"141",308553,"1",23,1,5,0.333333333333333,23,1,4,1,13,5,1,1,8388,4104,0,40,60,6783,1,"ACCEPT",53,15747,0.8,1
"142",308553,"1",23,1,5,0.333333333333333,23,1,4,1,13,1,0,0,17793,6837,0,50,50,33328,1,"ACCEPT",50,22350,1,1
"143",308553,"1",23,1,5,0.333333333333333,23,1,4,1,13,2,1,0,8806,4755,0,34,0,10697,1,"ACCEPT",34,54273,0.68,1
"144",308553,"1",23,1,5,0.333333333333333,23,1,4,1,13,4,1,0,6335,2515,0,37,0,4773,1,"ACCEPT",60,16426,0.74,1
"145",308553,"1",23,1,5,0.333333333333333,23,1,4,1,13,3,1,0,3099,5520,0,40,60,7194,1,"ACCEPT",50,13973,0.8,1
"146",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,4,1,0,3698,2239,0,45,55,7319,0,"50",50,6579,0.9,1
"147",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,3,1,1,2760,2968,0,45,55,21674,0,"50",50,6396,0.9,1
"148",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,5,1,0,2422,1642,0,40,60,7765,0,"50",50,5080,0.8,1
"149",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,2,1,1,4485,2743,0,45,55,11594,0,"50",50,7456,0.9,1
"150",308590,"0",19,1,1,19.1299086757991,0,1,2,0,14,1,1,1,18435,7450,0,50,50,14713,0,"50",50,22048,1,1
"151",308591,"0",20,1,2,20,0,1,3,0,14,3,1,1,2258,2575,0,45,55,15034,1,"ACCEPT",50,8251,0.9,1
"152",308591,"0",20,1,2,20,0,1,3,0,14,1,1,1,19473,6046,0,50,50,17448,1,"ACCEPT",50,24303,1,1
"153",308591,"0",20,1,2,20,0,1,3,0,14,4,1,1,3645,2247,0,40,60,5252,1,"ACCEPT",50,8307,0.8,1
"154",308591,"0",20,1,2,20,0,1,3,0,14,2,1,1,4224,3054,0,55,45,5660,1,"ACCEPT",50,8939,0.9,1
"155",308591,"0",20,1,2,20,0,1,3,0,14,5,1,0,2496,4132,0,35,0,8532,1,"ACCEPT",50,6548,0.7,1
"156",308600,"1",21,0,4,0.25,21,1,2,1,15,5,1,0,1821,1556,0,7,0,3255,0,"2",0,11867,0.14,0.04
"157",308600,"1",21,0,4,0.25,21,1,2,1,15,1,1,0,12930,4523,0,27,0,14331,0,"44",0,19796,0.54,0.88
